original_name	extId	id	lat	lon	name
Menden (Sauerland)	8003967	A=1@O=Menden(Sauerland)@X=7792083@Y=51435270@U=80@L=8003967@B=1@p=1715799947@i=U×008008222@	51.435253	7.792281	Menden(Sauerland)
Ibbenbüren	8003036	A=1@O=Ibbenbüren@X=7721482@Y=52276867@U=80@L=8003036@B=1@p=1715799947@i=U×008021162@	52.27686	7.721518	Ibbenbüren
Gummersbach	8002462	A=1@O=Gummersbach@X=7566310@Y=51023636@U=80@L=8002462@B=1@p=1715799947@i=U×008008392@	51.02335	7.566427	Gummersbach
Ravensburg	8004965	A=1@O=Ravensburg@X=9606098@Y=47784481@U=80@L=8004965@B=1@p=1715799947@i=U×008029153@	47.784336	9.605972	Ravensburg
Böblingen	8001055	A=1@O=Böblingen@X=9004126@Y=48687762@U=80@L=8001055@B=1@p=1715799947@i=U×008029383@	48.68789	9.004432	Böblingen
Peine	8004760	A=1@O=Peine@X=10232142@Y=52318945@U=80@L=8004760@B=1@p=1715799947@i=U×008013253@	52.318935	10.232223	Peine
Speyer	8005628	A=1@O=Speyer Hbf@X=8427953@Y=49324117@U=80@L=8005628@B=1@p=1715799947@i=U×008019092@	49.32417	8.427926	Speyer Hbf
Rastatt	8000306	A=1@O=Rastatt@X=8215619@Y=48860480@U=80@L=8000306@B=1@p=1715799947@i=U×008014245@	48.860596	8.215763	Rastatt
Elmshorn	8000092	A=1@O=Elmshorn@X=9659404@Y=53754028@U=80@L=8000092@B=1@p=1715799947@i=U×008001288@	53.755116	9.659053	Elmshorn
Emden	8001768	A=1@O=Emden Hbf@X=7195173@Y=53369038@U=80@L=8001768@B=1@p=1715799947@i=U×008021097@	53.369064	7.195029	Emden Hbf
Goslar	8000130	A=1@O=Goslar@X=10421437@Y=51911572@U=80@L=8000130@B=1@p=1715799947@i=U×008013398@	51.911114	10.422965	Goslar
Willich	8000584	A=1@O=Willich-Anrath@X=6450228@Y=51285536@U=80@L=8000584@B=1@p=1715799947@i=U×008015118@	51.28589	6.451235	Willich-Anrath
Heidenheim an der Brenz	8005220	A=1@O=Rüsselsheim@X=8413580@Y=49991638@U=80@L=8005220@B=1@p=1715799947@i=U×008011206@	49.99164	8.413571	Rüsselsheim
Erftstadt	8003671	A=1@O=Erftstadt@X=6832952@Y=50807094@U=80@L=8003671@B=1@p=1715799947@i=U×008015454@	50.8073	6.833033	Erftstadt
Lörrach	8003729	A=1@O=Lörrach Hbf@X=7665417@Y=47614054@U=80@L=8003729@B=1@p=1715799947@i=U×008014441@	47.61381	7.665228	Lörrach Hbf
Gronau (Westf.)	8000382	A=1@O=Gronau(Westf)@X=7022436@Y=52215111@U=80@L=8000382@B=1@p=1715799947@i=U×008021128@	52.215103	7.02249	Gronau(Westf)
Leonberg	8003652	A=1@O=Leonberg@X=9003856@Y=48799650@U=80@L=8003652@B=1@p=1715799947@i=U×008029444@	48.79966	9.003874	Leonberg
Rheda-Wiedenbrück	8000315	A=1@O=Rheda-Wiedenbrück@X=8286652@Y=51857026@U=80@L=8000315@B=1@p=1715799947@i=U×008013608@	51.85715	8.286535	Rheda-Wiedenbrück
Bad Oeynhausen	8000732	A=1@O=Bad Oeynhausen@X=8796520@Y=52205394@U=80@L=8000732@B=1@p=1715799947@i=U×008013585@	52.20545	8.796439	Bad Oeynhausen
